preset,size_bytes,sample,airtime_us
2400bps,48,4,145933
2400bps,48,5,146267
2400bps,49,1,145605
2400bps,49,2,145942
2400bps,49,3,146287
2400bps,49,4,145620
2400bps,49,5,145950
2400bps,50,1,146294
2400bps,50,2,145642
2400bps,50,3,145984
2400bps,50,4,145327
2400bps,50,5,145669
4800bps,1,1,1
4800bps,1,2,1
4800bps,1,3,1
4800bps,1,4,1
4800bps,1,5,1
4800bps,2,1,1
4800bps,2,2,1
4800bps,2,3,1
4800bps,2,4,1
4800bps,2,5,1
4800bps,3,1,1
4800bps,3,2,1
4800bps,3,3,1
4800bps,3,4,1
4800bps,3,5,1
4800bps,4,1,1
4800bps,4,2,1
4800bps,4,3,1
4800bps,4,4,1
4800bps,4,5,1
4800bps,5,1,1
4800bps,5,2,1
4800bps,5,3,1
4800bps,5,4,1
4800bps,5,5,1
4800bps,6,1,1
4800bps,6,2,1
4800bps,6,3,1
4800bps,6,4,1
4800bps,6,5,1
4800bps,7,1,1
4800bps,7,2,1
4800bps,7,3,1
4800bps,7,4,1
4800bps,7,5,1
4800bps,8,1,1
4800bps,8,2,1
4800bps,8,3,1
4800bps,8,4,1
4800bps,8,5,1
4800bps,9,1,1
4800bps,9,2,1
4800bps,9,3,1
4800bps,9,4,1
4800bps,9,5,1
4800bps,10,1,1
4800bps,10,2,1
4800bps,10,3,1
4800bps,10,4,1
4800bps,10,5,1
4800bps,11,1,1
4800bps,11,2,1
4800bps,11,3,1
4800bps,11,4,1
4800bps,11,5,1
4800bps,12,1,1
4800bps,12,2,1
4800bps,12,3,1
4800bps,12,4,1
4800bps,12,5,1
4800bps,13,1,1
4800bps,13,2,1
4800bps,13,3,1
4800bps,13,4,1
4800bps,13,5,1
4800bps,14,1,1
4800bps,14,2,1
4800bps,14,3,1
4800bps,14,4,1
4800bps,14,5,1
4800bps,15,1,1
4800bps,15,2,1
4800bps,15,3,1
4800bps,15,4,1
4800bps,15,5,1
4800bps,16,1,346
4800bps,16,2,343
4800bps,16,3,354
4800bps,16,4,343
4800bps,16,5,350
4800bps,17,1,1388
4800bps,17,2,1384
4800bps,17,3,1389
4800bps,17,4,1387
4800bps,17,5,1387
4800bps,18,1,2430
4800bps,18,2,2434
4800bps,18,3,2431
4800bps,18,4,2426
4800bps,18,5,2431
4800bps,19,1,3473
4800bps,19,2,3472
4800bps,19,3,3471
4800bps,19,4,3470
4800bps,19,5,3474
4800bps,20,1,4513
4800bps,20,2,4513
4800bps,20,3,4522
4800bps,20,4,4522
4800bps,20,5,4522
4800bps,21,1,5557
4800bps,21,2,5555
4800bps,21,3,5559
4800bps,21,4,5558
4800bps,21,5,5556
4800bps,22,1,6598
4800bps,22,2,6601
4800bps,22,3,6601
4800bps,22,4,6597
4800bps,22,5,6602
4800bps,23,1,7640
4800bps,23,2,7641
4800bps,23,3,7645
4800bps,23,4,7642
4800bps,23,5,7640
4800bps,24,1,8688
4800bps,24,2,8685
4800bps,24,3,8681
4800bps,24,4,8683
4800bps,24,5,8686
4800bps,25,1,9729
4800bps,25,2,9724
4800bps,25,3,9726
4800bps,25,4,9724
4800bps,25,5,9725
4800bps,26,1,10767
4800bps,26,2,10766
4800bps,26,3,10769
4800bps,26,4,10768
4800bps,26,5,10768
4800bps,27,1,11818
4800bps,27,2,11810
4800bps,27,3,11808
4800bps,27,4,11809
4800bps,27,5,11813
4800bps,28,1,12853
4800bps,28,2,12850
4800bps,28,3,12854
4800bps,28,4,12853
4800bps,28,5,12855
4800bps,29,1,13893
4800bps,29,2,13895
4800bps,29,3,13896
4800bps,29,4,13893
4800bps,29,5,13897
4800bps,30,1,14936
4800bps,30,2,14938
4800bps,30,3,14943
4800bps,30,4,14934
4800bps,30,5,14937
4800bps,31,1,15975
4800bps,31,2,15977
4800bps,31,3,15981
4800bps,31,4,15980
4800bps,31,5,15978
4800bps,32,1,17021
4800bps,32,2,17024
4800bps,32,3,17022
4800bps,32,4,17019
4800bps,32,5,17019
4800bps,33,1,18062
4800bps,33,2,18062
4800bps,33,3,18064
4800bps,33,4,18063
4800bps,33,5,18057
4800bps,34,1,19106
4800bps,34,2,19106
4800bps,34,3,19101
4800bps,34,4,19103
4800bps,34,5,19103
4800bps,35,1,20146
4800bps,35,2,20148
4800bps,35,3,20146
4800bps,35,4,20151
4800bps,35,5,20146
4800bps,36,1,21188
4800bps,36,2,21188
4800bps,36,3,21193
4800bps,36,4,21188
4800bps,36,5,21187
4800bps,37,1,22229
4800bps,37,2,22230
4800bps,37,3,22229
4800bps,37,4,22230
4800bps,37,5,22228
4800bps,38,1,23272
4800bps,38,2,23271
4800bps,38,3,23269
4800bps,38,4,23271
4800bps,38,5,23272
4800bps,39,1,24320
4800bps,39,2,24315
4800bps,39,3,24319
4800bps,39,4,24317
4800bps,39,5,24313
4800bps,40,1,25356
4800bps,40,2,25355
4800bps,40,3,25355
4800bps,40,4,25355
4800bps,40,5,25357
4800bps,41,1,26400
4800bps,41,2,26402
4800bps,41,3,26397
4800bps,41,4,26400
4800bps,41,5,26399
4800bps,42,1,27437
4800bps,42,2,27440
4800bps,42,3,27442
4800bps,42,4,27440
4800bps,42,5,27443
4800bps,43,1,28485
4800bps,43,2,28484
