preset,size_bytes,sample,airtime_us
2400bps,48,4,145828
2400bps,48,5,146164
2400bps,49,1,145498
2400bps,49,2,145839
2400bps,49,3,146178
2400bps,49,4,145522
2400bps,49,5,145866
2400bps,50,1,146211
2400bps,50,2,145555
2400bps,50,3,145897
2400bps,50,4,146239
2400bps,50,5,145585
ERR: getConfiguration failed: 12
ERR: failed to configure preset 4800bps
